Nombre;Apellidos;Nº Identificación;Fecha de Nacimiento;Fecha de Jubilación;Bases de Cotización;Años Cotizados;Comunidad Autónoma
Donald;Watson;407-82-6704;1955-04-18;2023-03-24;592265,18;25 años 8 meses;Extremadura
Drew;Johnson;605-90-8127;1948-06-20;2023-03-26;575725,18;30 años 9 meses;Cataluña
Tina;Garcia;091-73-6966;1951-08-14;2023-10-07;476695,89;17 años 2 meses;Castilla y León
Brian;Butler;401-02-7069;1958-02-24;2023-08-13;604761,84;41 años 9 meses;Castilla-La Mancha
Matthew;Wilson;859-02-9594;1950-06-05;2023-10-19;598962,32;37 años 3 meses;Comunidad Valenciana
James;Thomas;350-67-6075;1950-11-03;2023-04-10;589686,76;23 años 2 meses;La Rioja
Sydney;Vega;384-52-4608;1954-06-23;2023-08-10;425726,8;15 años 10 meses;Extremadura
Dustin;Osborn;440-23-9720;1955-12-02;2023-06-07;603267,57;29 años 2 meses;Asturias
Frank;Reid;622-65-0281;1954-03-27;2023-05-18;491395,27;19 años 11 meses;Navarra
Leah;Pope;489-10-1444;1951-12-03;2023-03-24;602061,92;30 años 3 meses;Aragón
Brittany;Rogers;289-55-0043;1958-10-17;2023-10-12;596424,21;45 años 4 meses;Murcia
Ryan;Evans;793-23-9840;1952-06-19;2023-04-01;592171,16;36 años 6 meses;Castilla y León
Fred;Hawkins;601-04-4526;1957-02-13;2023-11-24;422240,62;15 años 11 meses;País Vasco
Tara;Barnes;520-14-5696;1951-10-25;2023-07-28;463377,97;17 años 10 meses;Canarias
Randy;Duffy;537-19-4093;1958-07-20;2023-01-22;592357,7;40 años 8 meses;La Rioja
Andre;Welch;151-98-2214;1949-10-26;2023-08-01;596742,04;34 años 5 meses;País Vasco
Amanda;Molina;813-31-4410;1956-01-31;2023-09-11;614108,52;32 años 9 meses;Cantabria
Adam;Clark;755-89-5769;1952-03-15;2023-07-03;600242,76;31 años 7 meses;Islas Baleares
Michele;Henry;862-08-0036;1955-10-27;2023-02-28;599066,29;26 años 4 meses;Cantabria
Brian;Stephens;242-94-7576;1957-01-28;2023-04-22;504755,44;19 años 11 meses;Castilla y León
Melanie;Rowland;001-45-4610;1950-02-18;2023-08-24;454875,61;16 años 2 meses;País Vasco
Carly;Johnson;574-29-2225;1949-06-12;2023-06-01;609918,53;33 años 7 meses;Galicia
James;Kramer;745-03-2393;1958-03-28;2023-12-04;605288,19;45 años 0 meses;Comunidad Valenciana
John;Garcia;476-05-6051;1952-03-16;2023-09-25;464934,86;16 años 2 meses;Comunidad Valenciana
Alex;Ritter;527-79-9389;1951-06-25;2023-03-16;617383,64;36 años 6 meses;Andalucía
James;Sharp;545-36-1390;1958-05-14;2023-01-15;615918,89;40 años 10 meses;Castilla-La Mancha
Alyssa;Weiss;373-87-7472;1953-11-05;2023-03-08;484033,03;18 años 7 meses;Madrid
Miguel;Holmes;409-74-0921;1958-01-19;2023-04-17;604371,07;38 años 9 meses;Asturias
Amanda;Hunt;515-77-3801;1952-12-05;2023-08-01;598861,7;25 años 4 meses;Asturias
Tanya;Reynolds;001-87-7922;1954-06-21;2023-12-06;473946,52;18 años 10 meses;Cataluña
