Nombre;Apellidos;Nº Identificación;Fecha de Nacimiento;Fecha de Jubilación;Bases de Cotización;Años Cotizados;Comunidad Autónoma;Base Reguladora;Total Meses Cotizados;Pensión
Donald;Watson;407-82-6704;1955-04-18;2023-03-24;592265,18;25 años 8 meses;Extremadura;1692,19;128,00;1152,05
Drew;Johnson;605-90-8127;1948-06-20;2023-03-26;575725,18;30 años 9 meses;Cataluña;1644,93;189,00;929,22
Tina;Garcia;091-73-6966;1951-08-14;2023-10-07;476695,89;17 años 2 meses;Castilla y León;1361,99;26,00;755,36
Brian;Butler;401-02-7069;1958-02-24;2023-08-13;604761,84;41 años 9 meses;Castilla-La Mancha;1727,89;321,00;1727,89
Matthew;Wilson;859-02-9594;1950-06-05;2023-10-19;598962,32;37 años 3 meses;Comunidad Valenciana;1711,32;267,00;1711,32
James;Thomas;350-67-6075;1950-11-03;2023-04-10;589686,76;23 años 2 meses;La Rioja;1684,82;98,00;1189,15
Sydney;Vega;384-52-4608;1954-06-23;2023-08-10;425726,80;15 años 10 meses;Extremadura;1216,36;10,00;633,72
Dustin;Osborn;440-23-9720;1955-12-02;2023-06-07;603267,57;29 años 2 meses;Asturias;1723,62;170,00;1035,90
Frank;Reid;622-65-0281;1954-03-27;2023-05-18;491395,27;19 años 11 meses;Navarra;1403,99;59,00;875,95
Leah;Pope;489-10-1444;1951-12-03;2023-03-24;602061,92;30 años 3 meses;Aragón;1720,18;183,00;991,34
Brittany;Rogers;289-55-0043;1958-10-17;2023-10-12;596424,21;45 años 4 meses;Murcia;1704,07;364,00;1704,07
Ryan;Evans;793-23-9840;1952-06-19;2023-04-01;592171,16;36 años 6 meses;Castilla y León;1691,92;258,00;733,95
Fred;Hawkins;601-04-4526;1957-02-13;2023-11-24;422240,62;15 años 11 meses;País Vasco;1206,40;11,00;631,07
Tara;Barnes;520-14-5696;1951-10-25;2023-07-28;463377,97;17 años 10 meses;Canarias;1323,94;34,00;756,50
Randy;Duffy;537-19-4093;1958-07-20;2023-01-22;592357,70;40 años 8 meses;La Rioja;1692,45;308,00;1692,45
Andre;Welch;151-98-2214;1949-10-26;2023-08-01;596742,04;34 años 5 meses;País Vasco;1704,98;233,00;820,61
Amanda;Molina;813-31-4410;1956-01-31;2023-09-11;614108,52;32 años 9 meses;Cantabria;1754,60;213,00;911,16
Adam;Clark;755-89-5769;1952-03-15;2023-07-03;600242,76;31 años 7 meses;Islas Baleares;1714,98;199,00;936,20
Michele;Henry;862-08-0036;1955-10-27;2023-02-28;599066,29;26 años 4 meses;Cantabria;1711,62;136,00;1139,26
